1	There	_	EX	EX	_	2	expl	_	_
1	Do	_	VBP	VBP	_	4	aux	_	_
2	you	_	PRP	PRP	_	4	nsubj	_	_
3	really	_	RB	RB	_	4	advmod	_	_
4	want	_	VBP	VBP	_	0	null	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	end	_	VB	VB	_	4	xcomp	_	_
7	your	_	PRP$	PRP$	_	8	poss	_	_
8	career	_	NN	NN	_	6	dobj	_	_
9	for	_	IN	IN	_	6	prep	_	_
10	making	_	VBG	VBG	_	9	pcomp	_	_
11	a	_	DT	DT	_	13	det	_	_
12	false	_	JJ	JJ	_	13	amod	_	_
13	statement	_	NN	NN	_	10	dobj	_	_
14	?	_	.	.	_	4	punct	_	_

1	To	_	TO	TO	_	2	aux	_	_
2	keep	_	VB	VB	_	0	null	_	_
3	a	_	DT	DT	_	4	det	_	_
4	scumbag	_	NN	NN	_	2	dobj	_	_
5	like	_	IN	IN	_	4	prep	_	_
6	Beckett	_	NNP	NNP	_	5	pobj	_	_
7	off	_	IN	IN	_	2	prep	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	streets	_	NNS	NNS	_	7	pobj	_	_
10	?	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	bet	_	VBD	VBD	_	0	null	_	_
3	your	_	PRP$	PRP$	_	4	poss	_	_
4	ass	_	NN	NN	_	2	dobj	_	_
5	.	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	look	_	VBP	VBP	_	0	null	_	_
3	forward	_	RB	RB	_	2	advmod	_	_
4	to	_	TO	TO	_	2	prep	_	_
5	getting	_	VBG	VBG	_	4	pcomp	_	_
6	my	_	PRP$	PRP$	_	7	poss	_	_
7	life	_	NN	NN	_	5	dobj	_	_
8	back	_	RB	RB	_	5	advmod	_	_
9	on	_	IN	IN	_	5	prep	_	_
10	track	_	NN	NN	_	9	pobj	_	_
11	.	_	.	.	_	2	punct	_	_

1	Justin	_	NNP	NNP	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	Pops	_	NNP	NNP	_	0	null	_	_
2	,	_	,	,	_	1	punct	_	_
3	hey	_	NN	NN	_	1	appos	_	_
4	.	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	'm	_	VBP	VBP	_	4	aux	_	_
3	really	_	RB	RB	_	4	advmod	_	_
4	looking	_	VBG	VBG	_	0	null	_	_
5	forward	_	RB	RB	_	4	advmod	_	_
6	to	_	TO	TO	_	4	prep	_	_
7	seeing	_	VBG	VBG	_	6	pcomp	_	_
8	you	_	PRP	PRP	_	9	nsubj	_	_
9	guys	_	NNS	NNS	_	7	ccomp	_	_
10	.	_	.	.	_	4	punct	_	_

1	Get	_	VB	VB	_	2	dep	_	_
2	down	_	RB	RB	_	0	null	_	_
3	!	_	.	.	_	2	punct	_	_

1	Justin	_	NNP	NNP	_	0	null	_	_
2	!	_	.	.	_	1	punct	_	_

1	Olive	_	NNP	NNP	_	4	nsubj	_	_
2	,	_	,	,	_	4	punct	_	_
3	you	_	PRP	PRP	_	4	nsubj	_	_
4	okay	_	VBP	VBP	_	0	null	_	_
5	,	_	,	,	_	4	punct	_	_
6	baby	_	NN	NN	_	4	dobj	_	_
7	?	_	.	.	_	4	punct	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	's	_	VBZ	VBZ	_	3	cop	_	_
3	okay	_	NN	NN	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Shh	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Shh	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Come	_	NN	NN	_	0	null	_	_
2	on	_	IN	IN	_	1	prep	_	_
3	,	_	,	,	_	6	punct	_	_
4	it	_	PRP	PRP	_	6	nsubj	_	_
5	's	_	VBZ	VBZ	_	6	cop	_	_
6	okay	_	NN	NN	_	2	pobj	_	_
7	.	_	.	.	_	1	punct	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	's	_	VBZ	VBZ	_	3	cop	_	_
3	okay	_	NN	NN	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	's	_	VBZ	VBZ	_	3	cop	_	_
3	okay	_	NN	NN	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	're	_	VBP	VBP	_	0	null	_	_
3	okay	_	RB	RB	_	2	advmod	_	_
4	.	_	.	.	_	2	punct	_	_

1	This	_	DT	DT	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	Sergeant	_	NNP	NNP	_	5	nn	_	_
4	Hank	_	NNP	NNP	_	5	nn	_	_
5	Voight	_	NNP	NNP	_	0	null	_	_
6	,	_	,	,	_	5	punct	_	_
7	badge	_	JJ	JJ	_	8	amod	_	_
8	number	_	NN	NN	_	5	appos	_	_
9	32419	_	CD	CD	_	8	num	_	_
10	.	_	.	.	_	5	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	need	_	VBP	VBP	_	0	null	_	_
3	a	_	DT	DT	_	4	dep	_	_
4	101	_	CD	CD	_	2	dobj	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	2069	_	CD	CD	_	9	num	_	_
7	West	_	NNP	NNP	_	8	dep	_	_
8	14th	_	JJ	JJ	_	9	amod	_	_
9	Place	_	NNP	NNP	_	5	pobj	_	_
10	.	_	.	.	_	2	punct	_	_

1	Hey	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Where	_	WRB	WRB	_	2	advmod	_	_
2	is	_	VBZ	VBZ	_	0	null	_	_
3	he	_	PRP	PRP	_	2	nsubj	_	_
4	?	_	.	.	_	2	punct	_	_

1	On	_	IN	IN	_	0	null	_	_
2	his	_	PRP$	PRP$	_	3	poss	_	_
3	way	_	NN	NN	_	1	pobj	_	_
4	back	_	RB	RB	_	3	advmod	_	_
5	from	_	IN	IN	_	4	dep	_	_
6	Med	_	NNP	NNP	_	5	pobj	_	_
7	.	_	.	.	_	1	punct	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	kept	_	VBD	VBD	_	0	null	_	_
3	the	_	DT	DT	_	4	det	_	_
4	baby	_	NN	NN	_	2	iobj	_	_
5	all	_	DT	DT	_	6	det	_	_
6	night	_	NN	NN	_	2	dobj	_	_
7	for	_	IN	IN	_	6	prep	_	_
8	tests	_	NNS	NNS	_	7	pobj	_	_
9	,	_	,	,	_	2	punct	_	_
10	but	_	CC	CC	_	2	cc	_	_
11	it	_	PRP	PRP	_	12	nsubj	_	_
12	looks	_	VBZ	VBZ	_	2	conj	_	_
13	like	_	IN	IN	_	16	mark	_	_
14	everything	_	NN	NN	_	16	nsubj	_	_
15	's	_	VBZ	VBZ	_	16	aux	_	_
16	gon	_	VBG	VBG	_	12	advcl	_	_
17	na	_	TO	TO	_	19	aux	_	_
18	be	_	VB	VB	_	19	cop	_	_
19	fine	_	JJ	JJ	_	16	xcomp	_	_
20	.	_	.	.	_	2	punct	_	_

1	What	_	WP	WP	_	5	dobj	_	_
2	the	_	DT	DT	_	3	det	_	_
3	hell	_	NN	NN	_	5	poss	_	_
4	's	_	POS	POS	_	3	possessive	_	_
5	this	_	DT	DT	_	0	null	_	_
6	?	_	.	.	_	5	punct	_	_

1	Oh	_	UH	UH	_	6	dep	_	_
2	,	_	,	,	_	6	punct	_	_
3	this	_	DT	DT	_	6	nsubj	_	_
4	is	_	VBZ	VBZ	_	6	cop	_	_
5	the	_	DT	DT	_	6	det	_	_
6	Intelliboard	_	NN	NN	_	22	ccomp	_	_
7	,	_	,	,	_	6	punct	_	_
8	and	_	CC	CC	_	6	cc	_	_
9	with	_	IN	IN	_	13	prep	_	_
10	it	_	PRP	PRP	_	9	pobj	_	_
11	we	_	PRP	PRP	_	13	nsubj	_	_
12	can	_	MD	MD	_	13	aux	_	_
13	crosscorrelate	_	VB	VB	_	6	conj	_	_
14	in	_	IN	IN	_	13	prep	_	_
15	realtime	_	JJ	JJ	_	14	pobj	_	_
16	all	_	DT	DT	_	13	dep	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	our	_	PRP$	PRP$	_	20	poss	_	_
19	investigative	_	JJ	JJ	_	20	amod	_	_
20	efforts	_	NNS	NNS	_	17	pobj	_	_
21	,	_	,	,	_	22	punct	_	_
22	departmentwide	_	NN	NN	_	0	null	_	_
23	.	_	.	.	_	22	punct	_	_

1	Got	_	NNP	NNP	_	4	nn	_	_
2	instant	_	JJ	JJ	_	4	amod	_	_
3	GPS	_	NNP	NNP	_	4	nn	_	_
4	tracking	_	NN	NN	_	0	null	_	_
5	,	_	,	,	_	4	punct	_	_
6	OCR	_	NNP	NNP	_	7	nn	_	_
7	scanning	_	NN	NN	_	4	conj	_	_
8	,	_	,	,	_	4	punct	_	_
9	and	_	CC	CC	_	4	cc	_	_
10	searchable	_	JJ	JJ	_	11	amod	_	_
11	databases	_	NNS	NNS	_	4	conj	_	_
12	.	_	.	.	_	4	punct	_	_

1	IP	_	NNP	NNP	_	2	nn	_	_
2	channeling	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	This	_	DT	DT	_	4	nsubj	_	_
2	is	_	VBZ	VBZ	_	4	cop	_	_
3	next	_	JJ	JJ	_	4	amod	_	_
4	level	_	NN	NN	_	0	null	_	_
5	.	_	.	.	_	4	punct	_	_

1	Sergeant	_	NNP	NNP	_	6	nsubj	_	_
2	,	_	,	,	_	6	punct	_	_
3	you	_	PRP	PRP	_	6	nsubj	_	_
4	do	_	VBP	VBP	_	6	aux	_	_
5	n't	_	RB	RB	_	6	neg	_	_
6	have	_	VB	VB	_	0	null	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	do	_	VB	VB	_	6	xcomp	_	_
9	that	_	DT	DT	_	8	dobj	_	_
10	.	_	.	.	_	6	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	started	_	VBD	VBD	_	0	null	_	_
3	inputting	_	VBG	VBG	_	2	xcomp	_	_
4	the	_	DT	DT	_	7	det	_	_
5	...	_	:	:	_	7	punct	_	_
6	James	_	NNP	NNP	_	7	nn	_	_
7	Beckett	_	NNP	NNP	_	3	dobj	_	_
8	.	_	.	.	_	2	punct	_	_

1	He	_	PRP	PRP	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	cop	_	_
3	a	_	DT	DT	_	4	det	_	_
4	triplehomicide	_	NN	NN	_	0	null	_	_
5	felon	_	.	.	_	4	punct	_	_

1	Olinsky	_	NNP	NNP	_	4	nsubj	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	I	_	PRP	PRP	_	1	conj	_	_
4	put	_	VBD	VBD	_	0	null	_	_
5	away	_	RB	RB	_	4	advmod	_	_
6	15	_	CD	CD	_	7	num	_	_
7	years	_	NNS	NNS	_	8	dep	_	_
8	ago	_	RB	RB	_	4	advmod	_	_
9	.	_	.	.	_	4	punct	_	_

1	Most	_	JJS	JJS	_	4	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	you	_	PRP	PRP	_	2	pobj	_	_
4	know	_	VBP	VBP	_	0	null	_	_
5	he	_	PRP	PRP	_	6	nsubj	_	_
6	's	_	VBZ	VBZ	_	4	ccomp	_	_
7	back	_	RB	RB	_	6	advmod	_	_
8	out	_	RP	RP	_	6	prt	_	_
9	on	_	IN	IN	_	6	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	streets	_	NNS	NNS	_	9	pobj	_	_
12	again	_	RB	RB	_	6	advmod	_	_
13	on	_	IN	IN	_	6	prep	_	_
14	a	_	DT	DT	_	15	det	_	_
15	technicality	_	NN	NN	_	13	pobj	_	_
16	.	_	.	.	_	4	punct	_	_

1	Nothing	_	NN	NN	_	3	nsubj	_	_
2	more	_	RBR	RBR	_	3	advmod	_	_
3	needs	_	VBZ	VBZ	_	0	null	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	be	_	VB	VB	_	6	auxpass	_	_
6	said	_	VBN	VBN	_	3	xcomp	_	_
7	about	_	IN	IN	_	6	prep	_	_
8	that	_	WDT	WDT	_	7	pobj	_	_
9	.	_	.	.	_	3	punct	_	_

1	What	_	WP	WP	_	3	dep	_	_
2	does	_	VBZ	VBZ	_	3	aux	_	_
3	need	_	VB	VB	_	0	null	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	be	_	VB	VB	_	6	auxpass	_	_
6	said	_	VBN	VBN	_	3	xcomp	_	_
7	is	_	VBZ	VBZ	_	3	ccomp	_	_
8	he	_	PRP	PRP	_	9	nsubj	_	_
9	tried	_	VBD	VBD	_	7	ccomp	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	kill	_	VB	VB	_	9	xcomp	_	_
12	me	_	PRP	PRP	_	11	dobj	_	_
13	,	_	,	,	_	7	punct	_	_
14	Olive	_	NNP	NNP	_	7	nsubj	_	_
15	,	_	,	,	_	14	punct	_	_
16	Justin	_	NNP	NNP	_	14	appos	_	_
17	,	_	,	,	_	14	punct	_	_
18	and	_	CC	CC	_	14	cc	_	_
19	my	_	PRP$	PRP$	_	20	poss	_	_
20	grandson	_	NN	NN	_	14	conj	_	_
21	in	_	IN	IN	_	20	prep	_	_
22	front	_	NN	NN	_	21	pobj	_	_
23	of	_	IN	IN	_	22	prep	_	_
24	my	_	PRP$	PRP$	_	25	poss	_	_
25	house	_	NN	NN	_	23	pobj	_	_
26	.	_	.	.	_	3	punct	_	_

1	So	_	IN	IN	_	3	dep	_	_
2	the	_	DT	DT	_	3	dep	_	_
3	sooner	_	RBR	RBR	_	5	advmod	_	_
4	he	_	PRP	PRP	_	5	nsubj	_	_
5	is	_	VBZ	VBZ	_	14	dep	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	box	_	NN	NN	_	6	pobj	_	_
9	or	_	CC	CC	_	8	cc	_	_
10	a	_	DT	DT	_	11	det	_	_
11	bag	_	NN	NN	_	8	conj	_	_
12	,	_	,	,	_	14	punct	_	_
13	the	_	DT	DT	_	14	det	_	_
14	better	_	JJR	JJR	_	0	null	_	_
15	.	_	.	.	_	14	punct	_	_

1	Am	_	VBP	VBP	_	3	aux	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	clear	_	JJ	JJ	_	0	null	_	_
4	?	_	.	.	_	3	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	okay	_	VBP	VBP	_	0	null	_	_
3	,	_	,	,	_	2	punct	_	_
4	Hank	_	NNP	NNP	_	2	dobj	_	_
5	?	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	will	_	MD	MD	_	3	aux	_	_
3	be	_	VB	VB	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Olinsky	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Where	_	WRB	WRB	_	2	advmod	_	_
2	is	_	VBZ	VBZ	_	0	null	_	_
3	this	_	DT	DT	_	4	det	_	_
4	guy	_	NN	NN	_	2	nsubj	_	_
5	?	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	want	_	VBP	VBP	_	0	null	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	know	_	VB	VB	_	2	xcomp	_	_
5	if	_	IN	IN	_	11	mark	_	_
6	his	_	PRP$	PRP$	_	8	poss	_	_
7	discharge	_	NN	NN	_	8	nn	_	_
8	papers	_	NNS	NNS	_	11	nsubj	_	_
9	from	_	IN	IN	_	8	prep	_	_
10	Stateville	_	NNP	NNP	_	9	pobj	_	_
11	listed	_	VBD	VBD	_	4	advcl	_	_
12	a	_	DT	DT	_	15	det	_	_
13	residential	_	JJ	JJ	_	15	amod	_	_
14	forwarding	_	NN	NN	_	15	nn	_	_
15	address	_	NN	NN	_	11	dobj	_	_
16	.	_	.	.	_	2	punct	_	_

1	What	_	WP	WP	_	0	null	_	_
2	properties	_	NNS	NNS	_	1	dep	_	_
3	he	_	PRP	PRP	_	5	nsubj	_	_
4	still	_	RB	RB	_	5	advmod	_	_
5	owns	_	VBZ	VBZ	_	2	rcmod	_	_
6	.	_	.	.	_	1	punct	_	_

1	Hank	_	NNP	NNP	_	4	nsubj	_	_
2	,	_	,	,	_	4	punct	_	_
3	we	_	PRP	PRP	_	4	nsubj	_	_
4	got	_	VBD	VBD	_	0	null	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	roll	_	VB	VB	_	4	xcomp	_	_
7	.	_	.	.	_	4	punct	_	_

1	Now	_	RB	RB	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Who	_	WP	WP	_	2	attr	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	the	_	DT	DT	_	4	det	_	_
4	driver	_	NN	NN	_	2	nsubj	_	_
5	?	_	.	.	_	2	punct	_	_

1	Jacob	_	NNP	NNP	_	2	nn	_	_
2	Logan	_	NNP	NNP	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Retired	_	VBN	VBN	_	0	null	_	_
2	CPD	_	NNP	NNP	_	1	dobj	_	_
3	.	_	.	.	_	1	punct	_	_

1	He	_	PRP	PRP	_	2	nsubj	_	_
2	was	_	VBD	VBD	_	0	null	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	team	_	NN	NN	_	3	pobj	_	_
6	with	_	IN	IN	_	5	prep	_	_
7	us	_	PRP	PRP	_	6	pobj	_	_
8	when	_	WRB	WRB	_	10	advmod	_	_
9	we	_	PRP	PRP	_	10	nsubj	_	_
10	took	_	VBD	VBD	_	2	advcl	_	_
11	down	_	RP	RP	_	10	prt	_	_
12	Beckett	_	NNP	NNP	_	10	dobj	_	_
13	.	_	.	.	_	2	punct	_	_

1	Dios	_	NNPS	NNPS	_	2	nn	_	_
2	mio	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	The	_	DT	DT	_	3	det	_	_
2	Wild	_	NNP	NNP	_	3	nn	_	_
3	Bunch	_	NNP	NNP	_	0	null	_	_
4	of	_	IN	IN	_	3	prep	_	_
5	Cicero	_	NNP	NNP	_	6	nn	_	_
6	rides	_	NNS	NNS	_	4	pobj	_	_
7	again	_	RB	RB	_	3	advmod	_	_
8	,	_	,	,	_	3	punct	_	_
9	huh	_	NN	NN	_	3	appos	_	_
10	?	_	.	.	_	3	punct	_	_

1	Yeah	_	UH	UH	_	3	dep	_	_
2	,	_	,	,	_	3	punct	_	_
3	Cicero	_	NNP	NNP	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	That	_	DT	DT	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	long	_	JJ	JJ	_	5	amod	_	_
5	time	_	NN	NN	_	6	measure	_	_
6	ago	_	IN	IN	_	0	null	_	_
7	.	_	.	.	_	6	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	look	_	VBP	VBP	_	0	null	_	_
3	good	_	JJ	JJ	_	2	acomp	_	_
4	.	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	look	_	VBP	VBP	_	0	null	_	_
3	good	_	JJ	JJ	_	2	acomp	_	_
4	.	_	.	.	_	2	punct	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	do	_	VBP	VBP	_	0	null	_	_
4	n't	_	RB	RB	_	3	neg	_	_
5	.	_	.	.	_	3	punct	_	_

1	No	_	RB	RB	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	He	_	PRP	PRP	_	2	nsubj	_	_
2	does	_	VBZ	VBZ	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	heard	_	VBD	VBD	_	0	null	_	_
3	about	_	IN	IN	_	2	prep	_	_
4	Logan	_	NNP	NNP	_	3	pobj	_	_
5	?	_	.	.	_	2	punct	_	_

1	Yeah	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	That	_	DT	DT	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	insanity	_	NN	NN	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Any	_	DT	DT	_	2	det	_	_
2	idea	_	NN	NN	_	3	nsubj	_	_
3	who	_	WP	WP	_	0	null	_	_
4	?	_	.	.	_	3	punct	_	_

1	James	_	NNP	NNP	_	2	nn	_	_
2	Beckett	_	NNP	NNP	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Released	_	VBN	VBN	_	0	null	_	_
2	from	_	IN	IN	_	1	prep	_	_
3	Stateville	_	NNP	NNP	_	2	pobj	_	_
4	yesterday	_	NN	NN	_	1	tmod	_	_
5	.	_	.	.	_	1	punct	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	he	_	PRP	PRP	_	3	nsubj	_	_
3	took	_	VBD	VBD	_	0	null	_	_
4	a	_	DT	DT	_	5	det	_	_
5	run	_	NN	NN	_	3	dobj	_	_
6	at	_	IN	IN	_	3	prep	_	_
7	you	_	PRP	PRP	_	6	pobj	_	_
8	too	_	RB	RB	_	3	advmod	_	_
9	?	_	.	.	_	3	punct	_	_

1	Yeah	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	All	_	DT	DT	_	2	det	_	_
2	right	_	JJ	JJ	_	6	ccomp	_	_
3	,	_	,	,	_	6	punct	_	_
4	we	_	PRP	PRP	_	6	nsubj	_	_
5	're	_	VBP	VBP	_	6	aux	_	_
6	gon	_	VBG	VBG	_	0	null	_	_
7	na	_	TO	TO	_	6	xcomp	_	_
8	detail	_	NN	NN	_	11	advmod	_	_
9	a	_	DT	DT	_	10	det	_	_
10	couple	_	NN	NN	_	11	nsubj	_	_
11	uniforms	_	VBZ	VBZ	_	7	dep	_	_
12	to	_	TO	TO	_	11	prep	_	_
13	you	_	PRP	PRP	_	12	pobj	_	_

1	for	_	IN	IN	_	0	null	_	_
2	protection	_	NN	NN	_	1	pobj	_	_
3	.	_	.	.	_	1	punct	_	_

1	Like	_	IN	IN	_	0	null	_	_
2	hell	_	NN	NN	_	1	pobj	_	_
3	you	_	PRP	PRP	_	4	nsubj	_	_
4	are	_	VBP	VBP	_	2	rcmod	_	_
5	.	_	.	.	_	1	punct	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	's	_	VBZ	VBZ	_	3	cop	_	_
3	procedure	_	NN	NN	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Who	_	WP	WP	_	2	attr	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	your	_	PRP$	PRP$	_	4	poss	_	_
4	detail	_	NN	NN	_	2	nsubj	_	_
5	,	_	,	,	_	4	punct	_	_
6	Hank	_	NNP	NNP	_	4	appos	_	_
7	?	_	.	.	_	2	punct	_	_

1	Al	_	NNP	NNP	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	handle	_	VBP	VBP	_	0	null	_	_
3	myself	_	PRP	PRP	_	2	dep	_	_
4	.	_	.	.	_	2	punct	_	_

1	Listen	_	NNP	NNP	_	4	nsubj	_	_
2	,	_	,	,	_	4	punct	_	_
3	you	_	PRP	PRP	_	4	nsubj	_	_
